Provider_ID,ZIP_Code,Hospital_overall_rating
50063,90027,2
30024,85013,2
100213,34209,1
51325,95437,3
40002,72830,3
51326,95971,Not Available
51301,93561,Not Available
110042,30141,4
50279,92252,1
10090,36608,2
50091,90255,1
40118,72401,3
61315,80759,3
20001,99508,4
100156,32055,4
110150,31061,4
100154,33143,2
110089,31533,3
50351,90509,5
30068,85546,3
30117,86426,3
50689,94583,4
100055,34689,4
100151,32224,4
50781,95472,Not Available
100052,33881,2
100316,32907,4
30094,85308,3
41316,72370,Not Available
61328,81147,Not Available
100246,34950,1
100117,32250,4
100307,32216,3
100086,33064,1
70003,6260,4
50278,91346,2
100135,32308,4
50072,94596,3
50235,91505,1
100248,33770,2
10144,36608,2
100291,32935,1
50076,94115,4
110092,31023,4
50701,92562,2
100050,33012,1
50723,91706,4
50100,92123,5
31312,85603,2
110091,30012,2
40004,72703,2
50167,95231,1
21303,99835,Not Available
110015,30180,3
43300,72202,Not Available
60125,80109,4
50040,91342,3
40047,72455,4
50272,92373,3
100167,33317,3
100043,34698,4
70004,6069,4
30033,85541,4
61308,81140,Not Available
50070,94080,4
50625,90048,5
50485,90806,4
10157,35661,2
100224,33321,2
50376,90502,2
50099,91786,3
50597,91740,2
100322,32696,Not Available
50298,92311,2
20012,99701,4
40036,72117,2
110018,30014,2
50067,95361,3
50140,92335,3
10091,36451,3
50737,91754,4
50152,94109,3
110161,30342,3
41331,72736,4
60015,80228,3
100125,33033,2
60043,80810,Not Available
60096,81657,4
50382,91723,1
50204,93552,2
60023,81502,4
50262,90095,3
100068,32117,4
100329,32765,Not Available
110028,30901,4
30012,86301,3
21312,99723,Not Available
10008,36049,4
100092,32955,2
100284,33155,2
41313,72031,4
110034,30912,1
50030,95966,1
50710,93720,4
50169,90602,2
50236,93065,2
110036,31403,1
100236,33952,1
10006,35631,2
110135,31036,3
50373,90033,2
50506,93405,4
100320,34758,3
50225,95969,4
10120,36460,3
30065,85202,4
30038,85251,4
110039,30904,3
103304,32827,Not Available
100122,32539,4
40051,71655,3
50009,94558,4
100127,33756,3
70019,6460,3
51324,93514,4
50616,93010,2
100069,33614,2
50191,90813,2
61300,81036,Not Available
110003,31501,1
101307,32425,Not Available
40055,72902,1
50239,91206,4
10035,35058,2
50394,93003,3
100035,34208,1
30010,85745,3
100242,32405,3
30043,85635,1
70028,6606,2
50444,95340,1
100288,33407,2
50093,93710,1
30085,85741,2
50042,96080,3
50129,92404,2
50736,91754,2
100313,32456,4
50537,95616,4
100226,32073,2
51321,95448,2
100128,33606,1
50690,95403,4
50189,93930,3
110083,30309,2
40026,71903,1
50291,95403,4
10092,35401,2
100315,32940,4
50128,92056,2
60044,80701,4
10056,35205,4
50686,92505,3
50245,92324,2
10087,36617,2
30087,85260,4
30120,85295,3
10130,35125,4
50243,92262,1
50082,93030,3
110153,31069,4
50441,94305,4
100072,32763,2
21313,99603,4
51311,95948,Not Available
50767,95688,4
40114,72205,1
110100,30434,3
110124,31545,3
50197,94062,5
40029,72034,2
100217,32978,2
50498,95603,4
10102,36726,Not Available
100256,34667,2
50604,95119,3
50131,94945,4
110043,31419,2
50608,93215,2
101300,33873,4
100157,33805,1
100099,33853,1
110079,30303,1
50764,96001,4
60103,80027,4
51328,96161,4
100281,33028,3
41319,71832,Not Available
40020,72401,1
10125,35565,5
30119,85296,5
100049,33870,2
110104,31015,2
70007,6320,4
100166,34233,5
50589,92870,3
80001,19718,5
110064,31901,2
50158,91436,4
100302,34769,2
60006,81401,4
50108,95816,4
21302,99664,Not Available
31315,85938,Not Available
100007,32803,3
10038,36201,3
61303,80723,4
110011,30117,2
50248,93906,2
50517,92392,1
50380,95124,2
60012,81004,4
80007,19958,3
100140,32034,4
51300,96122,Not Available
30062,85901,5
100109,33871,3
40041,72801,2
60008,81101,4
30064,85724,2
60117,81301,Not Available
51308,96104,Not Available
50541,94063,4
10173,35045,Not Available
50773,94578,2
100267,34223,4
100176,33410,3
10104,35243,2
50557,95355,3
100121,33831,2
10089,35502,4
100285,33029,4
40011,72833,4
41306,72519,Not Available
70012,6066,4
50526,92647,1
30103,85054,5
20008,99801,3
100240,33136,Not Available
10019,35660,3
70027,6040,1
100252,34972,2
50089,92411,2
50290,90404,4
101305,32320,Not Available
100012,33901,2
50026,91942,2
110122,31603,3
100025,32504,4
50102,92503,1
110005,30041,2
41320,71822,Not Available
50127,95695,2
110032,30577,4
110125,31021,4
40014,72143,3
61318,80459,Not Available
110031,30223,2
50073,94589,4
