CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
35100,,404.0,"New Bern, NC",Metropolitan Statistical Area,,"New Bern-Morehead City, NC",Jones,North Carolina,37.0,103.0,Outlying
35100,,404.0,"New Bern, NC",Metropolitan Statistical Area,,"New Bern-Morehead City, NC",Pamlico,North Carolina,37.0,137.0,Outlying
35140,,192.0,"Newberry, SC",Micropolitan Statistical Area,,"Columbia-Orangeburg-Newberry, SC",Newberry,South Carolina,45.0,71.0,Central
35220,,294.0,"New Castle, IN",Micropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Henry,Indiana,18.0,65.0,Central
35260,,430.0,"New Castle, PA",Micropolitan Statistical Area,,"Pittsburgh-New Castle-Weirton, PA-OH-WV",Lawrence,Pennsylvania,42.0,73.0,Central
35300,,408.0,"New Haven-Milford, CT",Metropolitan Statistical Area,,"New York-Newark, NY-NJ-CT-PA",New Haven,Connecticut,9.0,9.0,Central
35380,,406.0,"New Orleans-Metairie, LA",Metropolitan Statistical Area,,"New Orleans-Metairie-Hammond, LA-MS",Jefferson,Louisiana,22.0,51.0,Central
35380,,406.0,"New Orleans-Metairie, LA",Metropolitan Statistical Area,,"New Orleans-Metairie-Hammond, LA-MS",Orleans,Louisiana,22.0,71.0,Central
35380,,406.0,"New Orleans-Metairie, LA",Metropolitan Statistical Area,,"New Orleans-Metairie-Hammond, LA-MS",Plaquemines,Louisiana,22.0,75.0,Central
35380,,406.0,"New Orleans-Metairie, LA",Metropolitan Statistical Area,,"New Orleans-Metairie-Hammond, LA-MS",St. Bernard,Louisiana,22.0,87.0,Central
35380,,406.0,"New Orleans-Metairie, LA",Metropolitan Statistical Area,,"New Orleans-Metairie-Hammond, LA-MS",St. Charles,Louisiana,22.0,89.0,Central
35380,,406.0,"New Orleans-Metairie, LA",Metropolitan Statistical Area,,"New Orleans-Metairie-Hammond, LA-MS",St. James,Louisiana,22.0,93.0,Outlying
35380,,406.0,"New Orleans-Metairie, LA",Metropolitan Statistical Area,,"New Orleans-Metairie-Hammond, LA-MS",St. John the Baptist,Louisiana,22.0,95.0,Central
35380,,406.0,"New Orleans-Metairie, LA",Metropolitan Statistical Area,,"New Orleans-Metairie-Hammond, LA-MS",St. Tammany,Louisiana,22.0,103.0,Outlying
35420,,184.0,"New Philadelphia-Dover, OH",Micropolitan Statistical Area,,"Cleveland-Akron-Canton, OH",Tuscarawas,Ohio,39.0,157.0,Central
35440,,,"Newport, OR",Micropolitan Statistical Area,,,Lincoln,Oregon,41.0,41.0,Central
35460,,314.0,"Newport, TN",Micropolitan Statistical Area,,"Knoxville-Morristown-Sevierville, TN",Cocke,Tennessee,47.0,29.0,Central
35500,,218.0,"Newton, IA",Micropolitan Statistical Area,,"Des Moines-Ames-West Des Moines, IA",Jasper,Iowa,19.0,99.0,Central
35580,,359.0,"New Ulm, MN",Micropolitan Statistical Area,,"Mankato-New Ulm-North Mankato, MN",Brown,Minnesota,27.0,15.0,Central
35620,20524.0,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,"Dutchess County-Putnam County, NY","New York-Newark, NY-NJ-CT-PA",Dutchess,New York,36.0,27.0,Outlying
35620,20524.0,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,"Dutchess County-Putnam County, NY","New York-Newark, NY-NJ-CT-PA",Putnam,New York,36.0,79.0,Central
35620,35004.0,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,"Nassau County-Suffolk County, NY","New York-Newark, NY-NJ-CT-PA",Nassau,New York,36.0,59.0,Central
35620,35004.0,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,"Nassau County-Suffolk County, NY","New York-Newark, NY-NJ-CT-PA",Suffolk,New York,36.0,103.0,Central
